datetime,open,close,high,low
2023-01-03,999.80,1045.50,1045.50,999.80
2023-01-04,1046.10,1042.70,1054.20,1038.50
2023-01-05,1045.00,1053.80,1061.00,1043.20
2023-01-06,1053.50,1051.00,1068.00,1046.00
2023-01-09,1059.00,1053.60,1064.00,1050.00
2023-01-10,1051.10,1056.60,1062.80,1047.40
2023-01-11,1061.90,1062.70,1073.00,1060.60
2023-01-12,1067.00,1065.20,1069.10,1056.20
2023-01-13,1071.00,1069.10,1075.70,1062.20
2023-01-16,1070.70,1075.20,1075.80,1064.20
2023-01-17,1080.00,1107.00,1107.40,1078.50
2023-01-18,1103.60,1117.30,1122.40,1103.60
2023-01-19,1114.40,1121.00,1124.00,1112.80
2023-01-27,1138.90,1127.00,1145.80,1122.30
2023-01-30,1125.00,1109.80,1129.00,1109.80
2023-01-31,1108.40,1125.00,1126.90,1097.50
2023-02-01,1129.90,1088.50,1130.60,1084.50
2023-02-02,1090.00,1088.00,1101.30,1076.20
2023-02-03,1093.50,1081.90,1093.50,1080.00
2023-02-06,1078.00,1090.60,1095.10,1068.50
2023-02-07,1091.10,1067.30,1093.90,1062.10
2023-02-08,1070.00,1072.00,1084.00,1065.50
2023-02-09,1068.60,1057.00,1077.00,1057.00
2023-02-10,1056.90,1045.00,1059.00,1044.10
2023-02-13,1042.90,1038.60,1046.00,1021.60
2023-02-14,1041.00,1030.90,1041.00,1026.10
2023-02-15,1031.00,1037.00,1051.00,1027.60
2023-02-16,1041.00,1052.30,1053.70,1038.60
2023-02-17,1051.00,1049.00,1052.60,1040.50
2023-02-20,1050.00,1088.00,1091.00,1049.90
2023-02-21,1089.60,1076.10,1092.70,1076.10
2023-02-22,1064.80,1043.80,1070.60,1043.80
2023-02-23,1045.80,1048.00,1048.00,1025.00
2023-02-24,1045.00,1020.00,1047.70,1012.10
2023-02-27,1017.40,1011.00,1020.00,1003.10
2023-02-28,1014.50,1008.00,1022.80,1005.70
2023-03-01,1003.60,1032.00,1035.00,998.10
2023-03-02,1031.00,1024.00,1036.00,1020.10
2023-03-03,1028.00,1005.20,1032.10,1005.20
2023-03-06,1013.60,1010.00,1036.00,1010.00
2023-03-07,1020.00,1027.90,1041.00,1018.60
2023-03-08,1017.00,1038.00,1038.00,1013.60
2023-03-09,1042.70,1050.70,1057.80,1036.00
2023-03-10,1042.90,1049.80,1049.80,1031.10
2023-03-13,1043.50,1048.00,1054.70,1043.00
2023-03-14,1043.80,1037.90,1047.20,1032.60
2023-03-15,1051.30,1063.00,1069.00,1051.30
2023-03-16,1058.00,1043.00,1059.50,1041.10
2023-03-17,1056.30,1045.10,1057.80,1041.20
2023-03-20,1040.00,1022.40,1040.10,1017.10
2023-03-21,1028.00,1030.50,1031.50,1013.00
2023-03-22,1038.10,1034.50,1041.50,1030.60
2023-03-23,1027.00,1038.90,1039.90,1027.00
2023-03-24,1041.90,1043.10,1054.00,1041.20
2023-03-27,1045.50,1047.30,1052.50,1040.60
2023-03-28,1052.60,1051.50,1060.00,1050.10
2023-03-29,1049.80,1056.00,1056.00,1048.50
2023-03-30,1060.90,1064.50,1067.30,1060.80
2023-03-31,1064.50,1066.00,1075.40,1064.50
2023-04-03,1082.00,1083.00,1085.00,1077.00
2023-04-04,1085.00,1080.20,1085.50,1078.30
2023-04-05,1081.80,1084.10,1084.10,1077.40
2023-04-06,1083.80,1073.00,1086.70,1073.00
2023-04-07,1076.00,1075.10,1076.00,1068.00
2023-04-10,1075.50,1072.80,1079.50,1070.60
2023-04-11,1070.00,1076.00,1078.50,1065.20
2023-04-12,1077.90,1075.00,1077.90,1071.00
2023-04-13,1074.50,1070.00,1075.00,1069.70
2023-04-14,1072.00,1063.10,1074.80,1063.10
2023-04-17,1063.50,1064.50,1064.80,1057.80
2023-04-18,1065.40,1063.00,1065.50,1060.10
2023-04-19,1063.00,1055.00,1063.70,1053.30
2023-04-20,1055.00,1053.90,1055.40,1048.60
2023-04-21,1047.80,1040.00,1047.80,1040.00
2023-04-24,1038.00,1040.90,1047.40,1036.90
2023-04-25,1042.00,1030.70,1044.30,1030.50
2023-04-26,1028.90,1037.50,1037.70,1025.60
2023-04-27,1036.40,1035.00,1039.20,1032.40
2023-04-28,1039.00,1042.50,1044.00,1037.30
2023-05-04,1041.90,1035.00,1042.50,1031.00
2023-05-05,1032.10,1033.50,1035.90,1030.50
2023-05-08,1037.50,1041.80,1042.50,1036.30
2023-05-09,1041.90,1042.20,1046.00,1041.10
2023-05-10,1043.00,1050.60,1052.00,1042.30
2023-05-11,1051.60,1051.60,1055.00,1050.00
2023-05-12,1050.20,1064.90,1064.90,1048.30
2023-05-15,1068.00,1066.50,1071.80,1065.00
2023-05-16,1068.30,1067.00,1069.40,1064.30
2023-05-17,1065.80,1065.00,1074.70,1065.00
2023-05-18,1067.00,1074.20,1076.30,1066.50
2023-05-19,1064.90,1062.50,1064.90,1052.50
2023-05-22,1062.90,1065.30,1068.00,1060.60
